testy\poz-los\10.500+200;509;0;1297;405;81;0.066
testy\poz-los\10.500+200;509;10;1370;396;79;1.816
testy\poz-los\10.500+200;509;20;1542;359;71;2.748
testy\poz-los\10.500+200;509;30;1418;371;74;3.39
testy\poz-los\10.500+200;509;40;1450;378;75;3.992
testy\poz-los\10.500+200;509;50;1450;373;74;4.593
testy\poz-los\10.500+200;509;60;1458;365;73;5.18
testy\poz-los\10.500+200;509;70;1437;362;72;5.759
testy\poz-los\10.500+200;509;80;1428;366;73;6.335
testy\poz-los\10.500+200;509;90;1463;358;71;6.916
testy\poz-los\10.500+200;509;100;1491;357;71;7.5
testy\poz-los\10.500+200;509;110;1425;355;71;8.073
testy\poz-los\10.500+200;509;120;1435;355;71;8.625
testy\poz-los\10.500+200;509;130;1466;349;69;9.172
testy\poz-los\10.500+200;509;140;1488;338;67;9.724
testy\poz-los\10.500+200;509;150;1532;330;66;10.275
testy\poz-los\10.500+200;509;160;1434;329;65;10.824
testy\poz-los\10.500+200;509;170;1462;329;65;11.365
testy\poz-los\10.500+200;509;180;1444;327;65;11.916
testy\poz-los\10.500+200;509;190;1485;321;64;12.47
testy\poz-los\18.200+80;209;0;571;159;79;0.009
testy\poz-los\18.200+80;209;10;633;142;71;0.164
testy\poz-los\18.200+80;209;20;633;154;77;0.257
testy\poz-los\18.200+80;209;30;625;147;73;0.352
testy\poz-los\18.200+80;209;40;641;154;77;0.45
testy\poz-los\18.200+80;209;50;630;142;71;0.54
testy\poz-los\18.200+80;209;60;594;143;71;0.634
testy\poz-los\18.200+80;209;70;635;142;71;0.721
testy\poz-los\18.200+80;209;80;626;135;67;0.808
testy\poz-los\18.200+80;209;90;631;135;67;0.891
testy\poz-los\18.200+80;209;100;653;141;70;0.972
testy\poz-los\18.200+80;209;110;629;135;67;1.058
testy\poz-los\18.200+80;209;120;619;133;66;1.139
testy\poz-los\18.200+80;209;130;623;135;67;1.219
testy\poz-los\18.200+80;209;140;645;134;67;1.301
testy\poz-los\18.200+80;209;150;646;130;65;1.38
testy\poz-los\18.200+80;209;160;658;130;65;1.464
testy\poz-los\18.200+80;209;170;630;126;63;1.544
testy\poz-los\18.200+80;209;180;618;130;65;1.625
testy\poz-los\18.200+80;209;190;638;126;63;1.71
testy\poz-los\20.300+120;309;0;802;272;90;0.023
testy\poz-los\20.300+120;309;10;900;230;76;0.475
testy\poz-los\20.300+120;309;20;958;225;75;0.751
testy\poz-los\20.300+120;309;30;944;224;74;0.971
testy\poz-los\20.300+120;309;40;976;205;68;1.187
testy\poz-los\20.300+120;309;50;958;188;62;1.395
testy\poz-los\20.300+120;309;60;961;191;63;1.596
testy\poz-los\20.300+120;309;70;944;182;60;1.803
testy\poz-los\20.300+120;309;80;964;181;60;1.995
testy\poz-los\20.300+120;309;90;945;180;60;2.188
testy\poz-los\20.300+120;309;100;972;180;60;2.376
testy\poz-los\20.300+120;309;110;925;183;61;2.564
testy\poz-los\20.300+120;309;120;954;181;60;2.754
testy\poz-los\20.300+120;309;130;954;178;59;2.946
testy\poz-los\20.300+120;309;140;956;176;58;3.133
testy\poz-los\20.300+120;309;150;949;176;58;3.321
testy\poz-los\20.300+120;309;160;941;177;59;3.512
testy\poz-los\20.300+120;309;170;971;176;58;3.706
testy\poz-los\20.300+120;309;180;963;176;58;3.896
testy\poz-los\20.300+120;309;190;978;171;57;4.082
testy\poz-los\25.500+200;509;0;1229;471;94;0.063
testy\poz-los\25.500+200;509;10;1336;430;86;1.786
testy\poz-los\25.500+200;509;20;1363;426;85;2.491
testy\poz-los\25.500+200;509;30;1321;418;83;3.039
testy\poz-los\25.500+200;509;40;1369;418;83;3.601
testy\poz-los\25.500+200;509;50;1398;404;80;4.15
testy\poz-los\25.500+200;509;60;1381;385;77;4.704
testy\poz-los\25.500+200;509;70;1354;387;77;5.251
testy\poz-los\25.500+200;509;80;1381;374;74;5.786
testy\poz-los\25.500+200;509;90;1374;359;71;6.334
testy\poz-los\25.500+200;509;100;1391;357;71;6.88
testy\poz-los\25.500+200;509;110;1387;351;70;7.416
testy\poz-los\25.500+200;509;120;1397;350;70;7.956
testy\poz-los\25.500+200;509;130;1442;345;69;8.504
testy\poz-los\25.500+200;509;140;1423;344;68;9.062
testy\poz-los\25.500+200;509;150;1466;332;66;9.61
testy\poz-los\25.500+200;509;160;1429;332;66;10.17
testy\poz-los\25.500+200;509;170;1456;325;65;10.735
testy\poz-los\25.500+200;509;180;1444;321;64;11.297
testy\poz-los\25.500+200;509;190;1464;315;63;11.845
testy\poz-los\35.200+80;209;0;583;160;80;0.011
testy\poz-los\35.200+80;209;10;643;141;70;0.169
testy\poz-los\35.200+80;209;20;647;145;72;0.265
testy\poz-los\35.200+80;209;30;677;142;71;0.359
testy\poz-los\35.200+80;209;40;667;132;66;0.455
testy\poz-los\35.200+80;209;50;652;129;64;0.545
testy\poz-los\35.200+80;209;60;685;120;60;0.642
testy\poz-los\35.200+80;209;70;658;119;59;0.735
testy\poz-los\35.200+80;209;80;677;117;58;0.829
testy\poz-los\35.200+80;209;90;683;122;61;0.916
testy\poz-los\35.200+80;209;100;689;118;59;1.001
testy\poz-los\35.200+80;209;110;665;116;58;1.087
testy\poz-los\35.200+80;209;120;653;111;55;1.17
testy\poz-los\35.200+80;209;130;645;105;52;1.252
testy\poz-los\35.200+80;209;140;652;100;50;1.332
testy\poz-los\35.200+80;209;150;654;100;50;1.412
testy\poz-los\35.200+80;209;160;636;105;52;1.496
testy\poz-los\35.200+80;209;170;673;100;50;1.575
testy\poz-los\35.200+80;209;180;670;100;50;1.656
