testy\poz-oli\10.500+50;509;0;4814;56;11;0.036
testy\poz-oli\10.500+50;509;10;1320;204;40;1.101
testy\poz-oli\10.500+50;509;20;922;246;49;1.951
testy\poz-oli\10.500+50;509;30;880;265;53;2.739
testy\poz-oli\10.500+50;509;40;842;269;53;3.479
testy\poz-oli\10.500+50;509;50;873;277;55;4.19
testy\poz-oli\10.500+50;509;60;808;282;56;4.804
testy\poz-oli\10.500+50;509;70;665;301;60;5.25
testy\poz-oli\10.500+50;509;80;590;311;62;5.656
testy\poz-oli\10.500+50;509;90;588;311;62;6.026
testy\poz-oli\10.500+50;509;100;552;313;62;6.362
testy\poz-oli\10.500+50;509;110;561;318;63;6.687
testy\poz-oli\10.500+50;509;120;535;320;64;7.001
testy\poz-oli\10.500+50;509;130;528;320;64;7.296
testy\poz-oli\10.500+50;509;140;522;320;64;7.572
testy\poz-oli\10.500+50;509;150;522;320;64;7.843
testy\poz-oli\10.500+50;509;160;522;320;64;8.114
testy\poz-oli\10.500+50;509;170;522;320;64;8.385
testy\poz-oli\10.500+50;509;180;522;320;64;8.657
testy\poz-oli\10.500+50;509;190;529;320;64;8.936
testy\poz-oli\18.200+20;209;0;1899;23;11;0.007
testy\poz-oli\18.200+20;209;10;428;95;47;0.106
testy\poz-oli\18.200+20;209;20;326;115;57;0.198
testy\poz-oli\18.200+20;209;30;255;121;60;0.29
testy\poz-oli\18.200+20;209;40;231;128;64;0.362
testy\poz-oli\18.200+20;209;50;215;129;64;0.431
testy\poz-oli\18.200+20;209;60;223;130;65;0.486
testy\poz-oli\18.200+20;209;70;200;133;66;0.539
testy\poz-oli\18.200+20;209;80;197;132;66;0.594
testy\poz-oli\18.200+20;209;90;198;132;66;0.653
testy\poz-oli\18.200+20;209;100;197;132;66;0.708
testy\poz-oli\18.200+20;209;110;197;132;66;0.762
testy\poz-oli\18.200+20;209;120;197;132;66;0.812
testy\poz-oli\18.200+20;209;130;197;132;66;0.86
testy\poz-oli\18.200+20;209;140;197;132;66;0.905
testy\poz-oli\18.200+20;209;150;197;132;66;0.953
testy\poz-oli\18.200+20;209;160;197;132;66;1.002
testy\poz-oli\18.200+20;209;170;197;132;66;1.049
testy\poz-oli\18.200+20;209;180;197;132;66;1.095
testy\poz-oli\18.200+20;209;190;210;135;67;1.142
testy\poz-oli\20.300+30;309;0;2907;34;11;0.014
testy\poz-oli\20.300+30;309;10;828;128;42;0.282
testy\poz-oli\20.300+30;309;20;582;156;52;0.525
testy\poz-oli\20.300+30;309;30;467;168;56;0.765
testy\poz-oli\20.300+30;309;40;497;174;58;0.959
testy\poz-oli\20.300+30;309;50;407;182;60;1.117
testy\poz-oli\20.300+30;309;60;367;189;63;1.249
testy\poz-oli\20.300+30;309;70;337;189;63;1.373
testy\poz-oli\20.300+30;309;80;313;189;63;1.483
testy\poz-oli\20.300+30;309;90;315;192;64;1.589
testy\poz-oli\20.300+30;309;100;313;188;62;1.69
testy\poz-oli\20.300+30;309;110;313;188;62;1.8
testy\poz-oli\20.300+30;309;120;313;188;62;1.9
testy\poz-oli\20.300+30;309;130;313;188;62;2.003
testy\poz-oli\20.300+30;309;140;313;188;62;2.108
testy\poz-oli\20.300+30;309;150;323;188;62;2.212
