testy\poz-oli\10.500+50;509;0;584;385;77;0.061
testy\poz-oli\10.500+50;509;10;651;369;73;0.996
testy\poz-oli\10.500+50;509;20;701;366;73;1.532
testy\poz-oli\10.500+50;509;30;677;346;69;1.899
testy\poz-oli\10.500+50;509;40;594;341;68;2.25
testy\poz-oli\10.500+50;509;50;640;324;64;2.607
testy\poz-oli\10.500+50;509;60;608;322;64;2.961
testy\poz-oli\10.500+50;509;70;620;316;63;3.315
testy\poz-oli\10.500+50;509;80;615;306;61;3.651
testy\poz-oli\10.500+50;509;90;625;302;60;3.987
testy\poz-oli\10.500+50;509;100;599;299;59;4.322
testy\poz-oli\10.500+50;509;110;604;297;59;4.641
testy\poz-oli\10.500+50;509;120;571;301;60;4.956
testy\poz-oli\10.500+50;509;130;570;299;59;5.262
testy\poz-oli\10.500+50;509;140;589;298;59;5.565
testy\poz-oli\10.500+50;509;150;581;298;59;5.867
testy\poz-oli\10.500+50;509;160;594;299;59;6.192
testy\poz-oli\10.500+50;509;170;571;298;59;6.503
testy\poz-oli\10.500+50;509;180;572;298;59;6.811
testy\poz-oli\10.500+50;509;190;571;301;60;7.106
testy\poz-oli\18.200+20;209;0;244;138;69;0.007
testy\poz-oli\18.200+20;209;10;266;123;61;0.087
testy\poz-oli\18.200+20;209;20;253;128;64;0.151
testy\poz-oli\18.200+20;209;30;241;126;63;0.216
testy\poz-oli\18.200+20;209;40;240;128;64;0.282
testy\poz-oli\18.200+20;209;50;243;130;65;0.338
testy\poz-oli\18.200+20;209;60;230;127;63;0.39
testy\poz-oli\18.200+20;209;70;234;132;66;0.444
testy\poz-oli\18.200+20;209;80;235;128;64;0.498
testy\poz-oli\18.200+20;209;90;228;129;64;0.552
testy\poz-oli\18.200+20;209;100;244;129;64;0.611
testy\poz-oli\18.200+20;209;110;240;129;64;0.677
testy\poz-oli\18.200+20;209;120;237;129;64;0.731
testy\poz-oli\18.200+20;209;130;229;128;64;0.785
testy\poz-oli\18.200+20;209;140;243;130;65;0.836
testy\poz-oli\18.200+20;209;150;229;129;64;0.887
testy\poz-oli\18.200+20;209;160;222;128;64;0.936
testy\poz-oli\18.200+20;209;170;234;128;64;0.987
testy\poz-oli\18.200+20;209;180;259;129;64;1.038
testy\poz-oli\18.200+20;209;190;228;129;64;1.088
testy\poz-oli\20.300+30;309;0;286;261;87;0.013
testy\poz-oli\20.300+30;309;10;358;233;77;0.237
testy\poz-oli\20.300+30;309;20;336;226;75;0.386
testy\poz-oli\20.300+30;309;30;333;224;74;0.527
testy\poz-oli\20.300+30;309;40;313;200;66;0.669
testy\poz-oli\20.300+30;309;50;298;197;65;0.8
testy\poz-oli\20.300+30;309;60;332;199;66;0.922
testy\poz-oli\20.300+30;309;70;326;195;65;1.041
testy\poz-oli\20.300+30;309;80;328;194;64;1.156
testy\poz-oli\20.300+30;309;90;315;192;64;1.274
testy\poz-oli\20.300+30;309;100;325;192;64;1.391
testy\poz-oli\20.300+30;309;110;320;192;64;1.505
testy\poz-oli\20.300+30;309;120;312;192;64;1.619
testy\poz-oli\20.300+30;309;130;338;191;63;1.733
testy\poz-oli\20.300+30;309;140;333;191;63;1.85
testy\poz-oli\20.300+30;309;150;325;192;64;1.962
testy\poz-oli\20.300+30;309;160;319;191;63;2.076
testy\poz-oli\20.300+30;309;170;319;191;63;2.189
testy\poz-oli\20.300+30;309;180;328;191;63;2.308
testy\poz-oli\20.300+30;309;190;336;192;64;2.426
testy\poz-oli\25.500+50;509;0;559;390;78;0.04
testy\poz-oli\25.500+50;509;10;664;356;71;0.97
testy\poz-oli\25.500+50;509;20;710;352;70;1.451
testy\poz-oli\25.500+50;509;30;669;330;66;1.86
testy\poz-oli\25.500+50;509;40;669;313;62;2.251
testy\poz-oli\25.500+50;509;50;599;311;62;2.621
testy\poz-oli\25.500+50;509;60;605;305;61;2.995
testy\poz-oli\25.500+50;509;70;602;303;60;3.357
testy\poz-oli\25.500+50;509;80;579;304;60;3.704
testy\poz-oli\25.500+50;509;90;606;306;61;4.044
testy\poz-oli\25.500+50;509;100;551;307;61;4.383
testy\poz-oli\25.500+50;509;110;549;309;61;4.714
testy\poz-oli\25.500+50;509;120;566;314;62;5.04
testy\poz-oli\25.500+50;509;130;542;316;63;5.365
testy\poz-oli\25.500+50;509;140;541;314;62;5.681
testy\poz-oli\25.500+50;509;150;563;311;62;5.997
testy\poz-oli\25.500+50;509;160;554;312;62;6.31
testy\poz-oli\25.500+50;509;170;540;314;62;6.624
testy\poz-oli\25.500+50;509;180;539;319;63;6.936
testy\poz-oli\25.500+50;509;190;542;315;63;7.259
testy\poz-oli\35.200+20;209;0;238;154;77;0.007
testy\poz-oli\35.200+20;209;10;288;146;73;0.087
testy\poz-oli\35.200+20;209;20;271;142;71;0.152
testy\poz-oli\35.200+20;209;30;244;136;68;0.21
testy\poz-oli\35.200+20;209;40;241;135;67;0.268
testy\poz-oli\35.200+20;209;50;242;131;65;0.332
testy\poz-oli\35.200+20;209;60;235;135;67;0.387
testy\poz-oli\35.200+20;209;70;210;137;68;0.442
testy\poz-oli\35.200+20;209;80;208;135;67;0.495
testy\poz-oli\35.200+20;209;90;204;137;68;0.557
testy\poz-oli\35.200+20;209;100;230;134;67;0.612
testy\poz-oli\35.200+20;209;110;206;137;68;0.672
testy\poz-oli\35.200+20;209;120;222;135;67;0.722
testy\poz-oli\35.200+20;209;130;206;137;68;0.776
testy\poz-oli\35.200+20;209;140;224;133;66;0.83
testy\poz-oli\35.200+20;209;150;215;137;68;0.881
testy\poz-oli\35.200+20;209;160;231;133;66;0.931
testy\poz-oli\35.200+20;209;170;202;137;68;0.979
testy\poz-oli\35.200+20;209;180;202;137;68;1.028
testy\poz-oli\35.200+20;209;190;202;137;68;1.077
testy\poz-oli\53.500+50;509;0;498;397;79;0.043
testy\poz-oli\53.500+50;509;10;566;366;73;0.957
testy\poz-oli\53.500+50;509;20;589;355;71;1.417
testy\poz-oli\53.500+50;509;30;581;360;72;1.804
testy\poz-oli\53.500+50;509;40;587;333;66;2.158
testy\poz-oli\53.500+50;509;50;545;306;61;2.503
testy\poz-oli\53.500+50;509;60;587;316;63;2.843
testy\poz-oli\53.500+50;509;70;549;318;63;3.183
testy\poz-oli\53.500+50;509;80;566;316;63;3.512
testy\poz-oli\53.500+50;509;90;518;320;64;3.834
testy\poz-oli\53.500+50;509;100;535;326;65;4.151
testy\poz-oli\53.500+50;509;110;532;330;66;4.477
testy\poz-oli\53.500+50;509;120;504;330;66;4.79
testy\poz-oli\53.500+50;509;130;510;331;66;5.101
testy\poz-oli\53.500+50;509;140;515;331;66;5.415
