testy\poz-los\10.500+200;509;0;6191;55;11
testy\poz-los\10.500+200;509;10;2593;164;32
testy\poz-los\10.500+200;509;20;2386;190;38
testy\poz-los\10.500+200;509;30;2295;196;39
testy\poz-los\10.500+200;509;40;2246;196;39
testy\poz-los\10.500+200;509;50;2276;202;40
testy\poz-los\10.500+200;509;60;2204;198;39
testy\poz-los\10.500+200;509;70;2172;200;40
testy\poz-los\10.500+200;509;80;2041;211;42
testy\poz-los\10.500+200;509;90;2081;217;43
testy\poz-los\10.500+200;509;100;2004;220;44
testy\poz-los\10.500+200;509;110;2026;230;46
testy\poz-los\10.500+200;509;120;1947;225;45
testy\poz-los\10.500+200;509;130;1947;231;46
testy\poz-los\10.500+200;509;140;1906;239;47
testy\poz-los\10.500+200;509;150;1851;245;49
testy\poz-los\10.500+200;509;160;1879;246;49
testy\poz-los\10.500+200;509;170;1780;251;50
testy\poz-los\10.500+200;509;180;1742;258;51
testy\poz-los\10.500+200;509;190;1754;259;51
testy\poz-los\18.200+80;209;0;2443;23;11
testy\poz-los\18.200+80;209;10;1024;74;37
testy\poz-los\18.200+80;209;20;945;82;41
testy\poz-los\18.200+80;209;30;932;91;45
testy\poz-los\18.200+80;209;40;873;96;48
testy\poz-los\18.200+80;209;50;860;98;49
testy\poz-los\18.200+80;209;60;793;102;51
testy\poz-los\18.200+80;209;70;781;98;49
testy\poz-los\18.200+80;209;80;727;100;50
testy\poz-los\18.200+80;209;90;738;100;50
testy\poz-los\18.200+80;209;100;744;103;51
testy\poz-los\18.200+80;209;110;679;104;52
testy\poz-los\18.200+80;209;120;684;98;49
testy\poz-los\18.200+80;209;130;697;98;49
testy\poz-los\18.200+80;209;140;698;97;48
testy\poz-los\18.200+80;209;150;693;97;48
testy\poz-los\18.200+80;209;160;694;98;49
testy\poz-los\18.200+80;209;170;708;98;49
testy\poz-los\18.200+80;209;180;709;98;49
testy\poz-los\18.200+80;209;190;672;99;49
testy\poz-los\20.300+120;309;0;3691;33;11
testy\poz-los\20.300+120;309;10;1603;99;33
testy\poz-los\20.300+120;309;20;1423;115;38
testy\poz-los\20.300+120;309;30;1334;128;42
testy\poz-los\20.300+120;309;40;1268;132;44
testy\poz-los\20.300+120;309;50;1308;142;47
testy\poz-los\20.300+120;309;60;1217;150;50
testy\poz-los\20.300+120;309;70;1171;163;54
testy\poz-los\20.300+120;309;80;1174;165;55
testy\poz-los\20.300+120;309;90;1093;169;56
